Protein.Group,Protein.Names,Genes,First.Protein.Description,N.Sequences,N.Proteotypic.Sequences,HYEA_rep111,HYEA_rep112,HYEA_rep113,HYEA_rep114,HYEB_rep111,HYEB_rep112,HYEB_rep113,HYEB_rep114
P27616,PUR7_YEAST,ADE1,Phosphoribosylaminoimidazole-succinocarboxamide synthase,5,5,199362,242234,190703,234318,94743.2,103062,110399,107134
P27635,RL10_HUMAN,RPL10,Large ribosomal subunit protein uL16,4,2,734853,998169,677605,702955,927728,1.27E+06,1.00E+06,1.05E+06
P27692,SPT5_YEAST,SPT5,Transcription elongation factor SPT5,11,11,78847.2,74307.6,63083.7,66655.6,34640.3,35679.3,24554.3,42000.9
P27694,RFA1_HUMAN,RPA1,Replication protein A 70 kDa DNA-binding subunit,7,7,142823,165827,142940,173142,159430,160925,150831,189454
P27695,APEX1_HUMAN,APEX1,DNA repair nuclease/redox regulator APEX1,4,4,645282,724427,697323,665638,733670,765557,732321,755804
P27705,MIG1_YEAST,MIG1,Regulatory protein MIG1,1,1,,,,,15736.4,12203.7,,10738.3
P27707,DCK_HUMAN,DCK,Deoxycytidine kinase,3,3,14016.8,12415.4,23927.3,22873.6,27223.7,18624.5,17764.4,19266.6
P27708,PYR1_HUMAN,CAD,Multifunctional protein CAD,16,16,403033,472676,438703,415583,408757,486108,378766,486322
P27797,CALR_HUMAN,CALR,Calreticulin,6,6,2.20E+06,2.16E+06,2.24E+06,2.52E+06,2.35E+06,3.00E+06,2.52E+06,2.89E+06
P27809,KRE2_YEAST,KRE2,Glycolipid 2-alpha-mannosyltransferase,4,4,31904.6,40552.3,43082.2,35305.9,20124.1,20761.3,14357.1,13168.1
P27810,KTR1_YEAST,KTR1,"Alpha-1,2 mannosyltransferase KTR1",4,4,27946.9,24983.2,30247.2,24345.4,15173.3,11550.9,11739.9,11058.2
P27816,MAP4_HUMAN,MAP4,Microtubule-associated protein 4,19,19,494136,562636,509072,534095,552378,577334,522880,594797
P27824,CALX_HUMAN,CANX,Calnexin,7,7,1.45E+06,1.76E+06,1.42E+06,1.67E+06,1.73E+06,1.94E+06,1.54E+06,1.86E+06
P27829,WECC_ECOLI,wecC,UDP-N-acetyl-D-mannosamine dehydrogenase,3,3,,,,,8433.08,10631.3,,21064
P27830,RMLB2_ECOLI,rffG,"dTDP-glucose 4,6-dehydratase 2",1,1,,,,,,,,
P27833,WECE_ECOLI,wecE,"dTDP-4-amino-4,6-dideoxygalactose transaminase",1,1,,,2628.52,,6922.36,2722.59,7507.45,4298.42
P27836,WECG_ECOLI,wecG,UDP-N-acetyl-D-mannosaminuronic acid transferase,1,1,1898.17,2147.01,,,,,,
P27838,CYAY_ECOLI,cyaY,Iron-sulfur cluster assembly protein CyaY,1,1,4291.18,,4695.62,,9976.21,12059.7,11440.6,16053.9
