Protein.Group,Protein.Names,Genes,First.Protein.Description,N.Sequences,N.Proteotypic.Sequences,HYEA_1,HYEA_2,HYEA_3
P05976;P08590,MYL1_HUMAN;MYL3_HUMAN,MYL1;MYL3,"Myosin light chain 1/3, skeletal muscle isoform",1,0,,,
P05986,KAPC_YEAST,TPK3,cAMP-dependent protein kinase type 3,1,1,2104.53,1560.68,
P06101,CDC37_YEAST,CDC37,Hsp90 co-chaperone Cdc37,6,6,297170,311561,309805
P06102,NOT3_YEAST,NOT3,General negative regulator of transcription subunit 3,2,2,23137.4,36086.4,22956.4
P06103,EIF3B_YEAST,PRT1,Eukaryotic translation initiation factor 3 subunit B,16,16,306860,267727,248828
P06105,SC160_YEAST,SCP160,Protein SCP160,31,31,580847,568988,559054
P06115,CATT_YEAST,CTT1,Catalase T,2,2,2603.34,5584.59,3080.79
P06132,DCUP_HUMAN,UROD,Uroporphyrinogen decarboxylase,2,2,131981,99952.4,114890
P06168,ILV5_YEAST,ILV5,"Ketol-acid reductoisomerase, mitochondrial",10,10,2.36E+06,2.16E+06,1.77E+06
P06169,PDC1_YEAST,PDC1,Pyruvate decarboxylase isozyme 1,19,13,3.78E+07,4.56E+07,4.66E+07
P06174,HEM4_YEAST,HEM4,Uroporphyrinogen-III synthase,2,2,8163.59,13456.6,14701.5
P06182,CCHL_YEAST,CYC3,Holocytochrome-c synthase,2,2,122929,94179.8,58795.8
P06197,PIS_YEAST,PIS1,CDP-diacylglycerol--inositol 3-phosphatidyltransferase,1,1,383840,317475,282433
P06208,LEU1_YEAST,LEU4,2-isopropylmalate synthase,5,3,395124,356590,324559
P06213,INSR_HUMAN,INSR,Insulin receptor,3,3,7806.17,7736.55,
P06242,KIN28_YEAST,KIN28,Serine/threonine-protein kinase KIN28,1,1,22258.7,13542.1,6416.57
P06244,KAPA_YEAST,TPK1,cAMP-dependent protein kinase type 1,3,3,35569.5,43614.2,44818.2
P06280,AGAL_HUMAN,GLA,Alpha-galactosidase A,5,5,92487.6,73693.6,82271.5
P06367,RS14A_YEAST,RPS14A,Small ribosomal subunit protein uS11A,4,0,5.63E+06,6.39E+06,6.83E+06
P06396,GELS_HUMAN,GSN,Gelsolin,8,8,604318,686244,746161
P06454,PTMA_HUMAN,PTMA,Prothymosin alpha,4,4,1.27E+06,1.60E+06,1.73E+06
P06493,CDK1_HUMAN,CDK1,Cyclin-dependent kinase 1,7,6,327474,369001,301511
P06576,ATPB_HUMAN,ATP5F1B,"ATP synthase subunit beta, mitochondrial",13,10,3.54E+06,3.15E+06,3.04E+06
P06634,DED1_YEAST,DED1,ATP-dependent RNA helicase DED1,13,9,1.36E+06,1.44E+06,1.46E+06
P06700,SIR2_YEAST,SIR2,NAD-dependent histone deacetylase SIR2,1,1,7677.24,12466.8,11547.9
P06701,SIR3_YEAST,SIR3,Regulatory protein SIR3,1,1,4516.09,,4690.01
P06702,S10A9_HUMAN,S100A9,Protein S100-A9,2,2,4180.46,6971.3,3235.17
P06704,CDC31_YEAST,CDC31,Cell division control protein 31,1,1,46359.3,57525.2,43461.7
P06730,IF4E_HUMAN,EIF4E,Eukaryotic translation initiation factor 4E,5,5,388527,354248,349171
P06732,KCRM_HUMAN,CKM,Creatine kinase M-type,2,2,,4471.77,6511.54
P06733,ENOA_HUMAN,ENO1,Alpha-enolase,16,13,1.68E+07,1.62E+07,1.53E+07
P06737,PYGL_HUMAN,PYGL,"Glycogen phosphorylase, liver form",10,10,247727,230752,213250
P06738,PHSG_YEAST,GPH1,Glycogen phosphorylase,15,15,271426,267018,219816
P06744,G6PI_HUMAN,GPI,Glucose-6-phosphate isomerase,11,10,1.12E+06,964646,1.02E+06
P06746,DPOLB_HUMAN,POLB,DNA polymerase beta,1,1,6358.37,,
P06748,NPM_HUMAN,NPM1,Nucleophosmin,6,6,5.54E+06,6.54E+06,6.71E+06
P06753,TPM3_HUMAN,TPM3,Tropomyosin alpha-3 chain,7,4,3.13E+06,3.01E+06,3.12E+06
P06756,ITAV_HUMAN,ITGAV,Integrin alpha-V,16,16,43325.7,37916.9,37849.3
P06778,RAD52_YEAST,RAD52,DNA repair and recombination protein RAD52,3,3,5470.19,6532.83,8469.05
P06780,RHO1_YEAST,RHO1,GTP-binding protein RHO1,3,2,3.38E+06,4.15E+06,4.28E+06
P06781,RHO2_YEAST,RHO2,GTP-binding protein RHO2,2,2,12640.5,13728.8,11261.7
P06782,SNF1_YEAST,SNF1,Carbon catabolite-derepressing protein kinase,4,4,42379.2,41368.4,44745.8
P06785,TYSY_YEAST,CDC21,Thymidylate synthase,6,6,91474.1,74842.8,68410.1
P06786,TOP2_YEAST,TOP2,DNA topoisomerase 2,5,5,44025.2,27548.5,37809.2
P06787,CALM_YEAST,CMD1,Calmodulin,4,4,1.17E+06,956259,930162
P06846,EBGR_ECOLI,ebgR,HTH-type transcriptional regulator EbgR,1,1,,,
P06865,HEXA_HUMAN,HEXA,Beta-hexosaminidase subunit alpha,10,10,130720,99102.7,87687.8
P06899;P23527;P33778;Q16778;Q8N257,H2B1B_HUMAN;H2B1J_HUMAN;H2B1O_HUMAN;H2B2E_HUMAN;H2B3B_HUMAN,H2BC11;H2BC17;H2BC21;H2BC26;H2BC3,Histone H2B type 1-J,1,0,21856.4,19817.8,15111.5
P07093,GDN_HUMAN,SERPINE2,Glia-derived nexin,4,4,50423.3,57726.5,39959.1
P07099,HYEP_HUMAN,EPHX1,Epoxide hydrolase 1,6,6,123664,97629.3,103705
P07108,ACBP_HUMAN,DBI,Acyl-CoA-binding protein,3,3,345442,266857,248558
P07148,FABPL_HUMAN,FABP1,"Fatty acid-binding protein, liver",1,1,12782.7,13898.6,
P07149,FAS1_YEAST,FAS1,Fatty acid synthase subunit beta,43,43,1.04E+06,956414,892202
P07170,KAD2_YEAST,ADK1,Adenylate kinase,7,7,1.96E+06,2.19E+06,2.37E+06
P07172,HIS8_YEAST,HIS5,Histidinol-phosphate aminotransferase,7,7,147425,139734,139938
P07195,LDHB_HUMAN,LDHB,L-lactate dehydrogenase B chain,9,9,6.51E+06,6.06E+06,6.07E+06
P07199,CENPB_HUMAN,CENPB,Major centromere autoantigen B,4,4,22103.3,25600.3,21883.2
P07203,GPX1_HUMAN,GPX1,Glutathione peroxidase 1,7,7,274956,261981,237306
P07205,PGK2_HUMAN,PGK2,Phosphoglycerate kinase 2,1,1,2797.6,3549.16,3089.08
P07213,TOM70_YEAST,TOM70,Mitochondrial import receptor subunit TOM70,12,12,321615,288243,284712
P07225,PROS_HUMAN,PROS1,Vitamin K-dependent protein S,2,2,15951.4,14067.1,16613.3
P07236,SYTM_YEAST,MST1,"Threonine--tRNA ligase, mitochondrial",1,1,2303.44,4102.46,
P07237,PDIA1_HUMAN,P4HB,Protein disulfide-isomerase,13,13,1.26E+06,1.26E+06,1.27E+06
P07244,PUR2_YEAST,ADE57,"Bifunctional purine biosynthetic protein ADE5,7",16,16,933249,827819,815780
P07245,C1TC_YEAST,ADE3,"C-1-tetrahydrofolate synthase, cytoplasmic",20,20,1.11E+06,1.12E+06,1.10E+06
P07246,ADH3_YEAST,ADH3,"Alcohol dehydrogenase 3, mitochondrial",10,10,794859,783820,729515
P07248,ADR1_YEAST,ADR1,Regulatory protein ADR1,11,11,21082.5,26049.1,31167.2
P07250,IPMK_YEAST,ARG82,Inositol polyphosphate multikinase,1,1,8611.33,10358.4,11238.1
P07251,ATPA_YEAST,ATP1,"ATP synthase subunit alpha, mitochondrial",14,14,1.09E+06,911638,892883
P07253,CBP6_YEAST,CBP6,Cytochrome B pre-mRNA-processing protein 6,3,3,49559.1,58953.6,60279.5
P07256,QCR1_YEAST,COR1,"Cytochrome b-c1 complex subunit 1, mitochondrial",6,6,189009,157450,147085
P07257,QCR2_YEAST,QCR2,"Cytochrome b-c1 complex subunit 2, mitochondrial",10,10,433611,400080,366598
P07259,PYR1_YEAST,URA2,Multifunctional protein URA2,48,48,1.49E+06,1.34E+06,1.30E+06
P07260,IF4E_YEAST,CDC33,Eukaryotic translation initiation factor 4E,3,3,740138,634110,552972
P07262,DHE4_YEAST,GDH1,NADP-specific glutamate dehydrogenase 1,14,8,781098,649843,669947
P07263,SYH_YEAST,HTS1,"Histidine--tRNA ligase, mitochondrial",8,8,484938,442647,428234
P07264,LEUC_YEAST,LEU1,3-isopropylmalate dehydratase,9,9,125173,102256,104855
P07267,CARP_YEAST,PEP4,Saccharopepsin,5,5,1.66E+06,1.10E+06,1.11E+06
P07269,PHO2_YEAST,PHO2,Regulatory protein PHO2,1,1,33457.7,25277.4,23296.8
P07273,TFS2_YEAST,DST1,Transcription elongation factor S-II,4,4,54079.2,63888.7,65592.4
P07274,PROF_YEAST,PFY1,Profilin,1,1,,,23105.1
P07275,PUT2_YEAST,PUT2,"Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial",6,6,102388,97964.1,96478.8
P07277,ERG12_YEAST,ERG12,Mevalonate kinase,3,3,84907.1,75909.7,69117.2
P07278,KAPR_YEAST,BCY1,cAMP-dependent protein kinase regulatory subunit,8,8,190705,176498,154377
P07280;P07281,RS19A_YEAST;RS19B_YEAST,RPS19A;RPS19B,Small ribosomal subunit protein eS19A,5,0,5.96E+06,5.55E+06,5.61E+06
P07283,PMM_YEAST,SEC53,Phosphomannomutase,5,5,508402,481010,450411
P07284,SYSC_YEAST,SES1,"Serine--tRNA ligase, cytoplasmic",10,10,920453,795087,778642
P07285,TRPD_YEAST,TRP4,Anthranilate phosphoribosyltransferase,2,2,34736.9,33546.3,37081.8
P07305,H10_HUMAN,H1-0,Histone H1.0,3,3,126034,131974,137742
P07311,ACYP1_HUMAN,ACYP1,Acylphosphatase-1,5,5,145153,153044,144699
P07339,CATD_HUMAN,CTSD,Cathepsin D,6,6,212353,155182,157182
P07342,ILVB_YEAST,ILV2,"Acetolactate synthase catalytic subunit, mitochondrial",8,8,176803,112834,151253
P07347,ARD1_YEAST,ARD1,N-terminal acetyltransferase A complex catalytic subunit ARD1,4,4,176362,155770,133269
P07355,ANXA2_HUMAN,ANXA2,Annexin A2,15,1,1.11E+07,1.05E+07,1.01E+07
P07357,CO8A_HUMAN,C8A,Complement component C8 alpha chain,1,1,17538.1,16735.9,15926
P07358,CO8B_HUMAN,C8B,Complement component C8 beta chain,1,1,82812.6,111437,123607
P07384,CAN1_HUMAN,CAPN1,Calpain-1 catalytic subunit,16,16,283804,269981,231877
P07437,TBB5_HUMAN,TUBB,Tubulin beta chain,16,3,1.07E+07,1.12E+07,1.11E+07
P07438,MT1B_HUMAN,MT1B,Metallothionein-1B,1,1,1134.55,1510.69,1301.81
P07560,SEC4_YEAST,SEC4,Ras-related protein SEC4,3,3,600260,784369,842922
P07602,SAP_HUMAN,PSAP,Prosaposin,10,10,1.33E+06,1.30E+06,1.19E+06
P07686,HEXB_HUMAN,HEXB,Beta-hexosaminidase subunit beta,9,9,222415,174928,182653
P07702,LYS2_YEAST,LYS2,L-2-aminoadipate reductase,17,17,125343,119597,111939
P07703,RPAC1_YEAST,RPC40,DNA-directed RNA polymerases I and III subunit RPAC1,4,4,159280,164255,136025
P07711,CATL1_HUMAN,CTSL,Procathepsin L,1,1,95785.3,72245.2,79020
P07737,PROF1_HUMAN,PFN1,Profilin-1,6,6,7.38E+06,6.66E+06,6.27E+06
P07738,PMGE_HUMAN,BPGM,Bisphosphoglycerate mutase,2,2,14568.1,21537.6,15606.5
P07741,APT_HUMAN,APRT,Adenine phosphoribosyltransferase,6,6,816636,722427,651811
P07806,SYV_YEAST,VAS1,"Valine--tRNA ligase, mitochondrial",19,19,558230,502926,502520
P07807,DYR_YEAST,DFR1,Dihydrofolate reductase,2,2,18240.9,13618.1,13856.4
P07814,SYEP_HUMAN,EPRS1,Bifunctional glutamate/proline--tRNA ligase,32,32,651503,655043,637247
P07858,CATB_HUMAN,CTSB,Cathepsin B,5,5,49164.8,54732.8,46066.5
P07900,HS90A_HUMAN,HSP90AA1,Heat shock protein HSP 90-alpha,27,11,1.41E+07,1.37E+07,1.36E+07
P07910,HNRPC_HUMAN,HNRNPC,Heterogeneous nuclear ribonucleoproteins C1/C2,10,5,3.76E+06,3.60E+06,3.82E+06
P07919,QCR6_HUMAN,UQCRH,"Cytochrome b-c1 complex subunit 6, mitochondrial",3,2,293445,306155,302640
P07942,LAMB1_HUMAN,LAMB1,Laminin subunit beta-1,14,14,30739.8,33416.2,33976.4
P07947,YES_HUMAN,YES1,Tyrosine-protein kinase Yes,5,2,22860.8,28493.2,25188.8
P07948,LYN_HUMAN,LYN,Tyrosine-protein kinase Lyn,10,7,28504.2,23004.7,20415.3
P07951,TPM2_HUMAN,TPM2,Tropomyosin beta chain,3,2,239822,300959,316195
P07954,FUMH_HUMAN,FH,"Fumarate hydratase, mitochondrial",8,8,1.06E+06,1.11E+06,1.09E+06
P07991,OAT_YEAST,CAR2,Ornithine aminotransferase,5,5,100547,82127.5,79815.7
P07992,ERCC1_HUMAN,ERCC1,DNA excision repair protein ERCC-1,2,2,27624.6,13693.8,13104.5
P07996,TSP1_HUMAN,THBS1,Thrombospondin-1,16,16,604254,644770,591118
P08004,CHS1_YEAST,CHS1,Chitin synthase 1,2,2,20845.5,26799.7,24298.6
P08018,PBS2_YEAST,PBS2,MAP kinase kinase PBS2,2,2,6595.23,7990.02,11456.2
P08047,SP1_HUMAN,SP1,Transcription factor Sp1,2,2,33065.5,40439.4,42000.3
P08048;P17010,ZFX_HUMAN;ZFY_HUMAN,ZFX;ZFY,Zinc finger Y-chromosomal protein,1,0,,,3682.63
P08067,UCRI_YEAST,RIP1,"Cytochrome b-c1 complex subunit Rieske, mitochondrial",1,1,25303.7,25703.2,17621.9
P08069,IGF1R_HUMAN,IGF1R,Insulin-like growth factor 1 receptor,8,8,24013.3,23994.3,19965.9
P08133,ANXA6_HUMAN,ANXA6,Annexin A6,13,13,136547,129985,127060
P08134,RHOC_HUMAN,RHOC,Rho-related GTP-binding protein RhoC,2,1,771006,535593,517491
P08174,DAF_HUMAN,CD55,Complement decay-accelerating factor,5,5,4.28E+06,4.73E+06,4.61E+06
P08195,4F2_HUMAN,SLC3A2,Amino acid transporter heavy chain SLC3A2,13,13,2.34E+06,2.15E+06,2.05E+06
P08236,BGLR_HUMAN,GUSB,Beta-glucuronidase,5,5,23755.5,22590.6,18135.8
P08237,PFKAM_HUMAN,PFKM,"ATP-dependent 6-phosphofructokinase, muscle type",15,14,239829,221336,227133
P08238,HS90B_HUMAN,HSP90AB1,Heat shock protein HSP 90-beta,16,5,6.56E+06,5.92E+06,5.48E+06
P08240,SRPRA_HUMAN,SRPRA,Signal recognition particle receptor subunit alpha,12,12,125266,113648,109507
P08243,ASNS_HUMAN,ASNS,Asparagine synthetase [glutamine-hydrolyzing],13,13,696956,657062,578629
P08397,HEM3_HUMAN,HMBS,Porphobilinogen deaminase,3,3,28544.8,36633.7,25417.3
P08417,FUMH_YEAST,FUM1,"Fumarate hydratase, mitochondrial",6,6,322646,355848,346676
P08456,PSS_YEAST,CHO1,CDP-diacylglycerol--serine O-phosphatidyltransferase,2,2,167972,126934,123839
P08466,NUC1_YEAST,NUC1,Mitochondrial nuclease,2,2,2795.23,,4024.93
P08518,RPB2_YEAST,RPB2,DNA-directed RNA polymerase II subunit RPB2,9,9,157637,174944,161941
P08524,ERG20_YEAST,ERG20,Farnesyl pyrophosphate synthase,5,5,1.23E+06,1.53E+06,1.59E+06
P08539,GPA1_YEAST,GPA1,Guanine nucleotide-binding protein alpha-1 subunit,1,1,19155.8,27348.1,20116.8
P08559,ODPA_HUMAN,PDHA1,"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial",12,10,1.19E+06,979367,968029
P08566,ARO1_YEAST,ARO1,Pentafunctional AROM polypeptide,25,25,272221,231314,230209
P08572,CO4A2_HUMAN,COL4A2,Collagen alpha-2(IV) chain,3,3,15622.5,20852.5,21329.6
P08574,CY1_HUMAN,CYC1,"Cytochrome c1, heme protein, mitochondrial",5,5,183760,155715,186997
P08579,RU2B_HUMAN,SNRPB2,U2 small nuclear ribonucleoprotein B'',3,3,334415,427527,440056
P08581,MET_HUMAN,MET,Hepatocyte growth factor receptor,7,7,19225,21070.2,17120
P08603,CFAH_HUMAN,CFH,Complement factor H,13,13,33223.6,31994.6,28044
P08621,RU17_HUMAN,SNRNP70,U1 small nuclear ribonucleoprotein 70 kDa,3,3,69179.4,64468.4,60146.8
P08648,ITA5_HUMAN,ITGA5,Integrin alpha-5,9,9,191863,180583,191587
P08651,NFIC_HUMAN,NFIC,Nuclear factor 1 C-type,6,5,86388.8,111794,116594
P08670,VIME_HUMAN,VIM,Vimentin,24,20,5.45E+06,5.53E+06,5.58E+06
P08678,CYAA_YEAST,CYR1,Adenylate cyclase,4,4,10677.8,26345.8,20256.5
P08679,CISY2_YEAST,CIT2,"Citrate synthase, peroxisomal",7,7,54565.2,63417,59295.9
P08697,A2AP_HUMAN,SERPINF2,Alpha-2-antiplasmin,1,1,554129,489790,434414
P08708,RS17_HUMAN,RPS17,Small ribosomal subunit protein eS17,4,4,258021,263113,245936
P08727,K1C19_HUMAN,KRT19,"Keratin, type I cytoskeletal 19",12,9,1.26E+06,1.31E+06,1.22E+06
P08729,K2C7_HUMAN,KRT7,"Keratin, type II cytoskeletal 7",20,17,6.42E+06,7.34E+06,7.12E+06
P08754,GNAI3_HUMAN,GNAI3,Guanine nucleotide-binding protein G(i) subunit alpha-3,3,3,26732.6,18089,23863
P08758,ANXA5_HUMAN,ANXA5,Annexin A5,12,12,1.65E+06,1.50E+06,1.51E+06
P08779,K1C16_HUMAN,KRT16,"Keratin, type I cytoskeletal 16",9,5,41270.6,48779.4,41266.2
P08962,CD63_HUMAN,CD63,CD63 antigen,1,1,28367.8,26505.7,25918.8
P08964,MYO1_YEAST,MYO1,Myosin-1,3,3,5498.6,5629.05,6054.2
P09001,RM03_HUMAN,MRPL3,Large ribosomal subunit protein uL3m,6,6,71222.4,64107.4,51638
P09012,SNRPA_HUMAN,SNRPA,U1 small nuclear ribonucleoprotein A,3,3,244752,305798,161911
P09032,EI2BG_YEAST,GCD1,Translation initiation factor eIF2B subunit gamma,4,4,67617.9,66540,65185.5
P09038,FGF2_HUMAN,FGF2,Fibroblast growth factor 2,4,4,48359.7,65690.8,62489.6
P09064,IF2B_YEAST,SUI3,Eukaryotic translation initiation factor 2 subunit beta,5,5,455396,397355,365138
P09104,ENOG_HUMAN,ENO2,Gamma-enolase,4,4,56171.2,51113.4,47473
P09110,THIK_HUMAN,ACAA1,"3-ketoacyl-CoA thiolase, peroxisomal",8,8,58471.5,68858.2,69146.9
P09132,SRP19_HUMAN,SRP19,Signal recognition particle 19 kDa protein,2,2,76793.7,90247.3,88993.9
P09211,GSTP1_HUMAN,GSTP1,Glutathione S-transferase P,2,2,54727.1,44307.6,36916.2
P09232,PRTB_YEAST,PRB1,Cerevisin,5,5,1.67E+06,2.00E+06,2.06E+06
P09234,RU1C_HUMAN,SNRPC,U1 small nuclear ribonucleoprotein C,2,2,515735,512770,406568
P09368,PUT1_YEAST,PUT1,"Proline dehydrogenase, mitochondrial",1,1,,7593.4,
P09382,LEG1_HUMAN,LGALS1,Galectin-1,2,2,50096.1,49656.6,54591.9
P09417,DHPR_HUMAN,QDPR,Dihydropteridine reductase,4,4,72286.6,65059.2,68787.2
P09429,HMGB1_HUMAN,HMGB1,High mobility group protein B1,5,2,1.46E+06,1.41E+06,1.32E+06
P09436,SYIC_YEAST,ILS1,"Isoleucine--tRNA ligase, cytoplasmic",24,23,643122,630822,558265
P09440,C1TM_YEAST,MIS1,"C-1-tetrahydrofolate synthase, mitochondrial",7,7,36481.8,39504.9,37114.2
P09457,ATPO_YEAST,ATP5,"ATP synthase subunit 5, mitochondrial",6,6,64983.3,69270.7,62403.6
P09493,TPM1_HUMAN,TPM1,Tropomyosin alpha-1 chain,1,1,323072,270768,279887
P09497,CLCB_HUMAN,CLTB,Clathrin light chain B,2,2,248151,243886,238756
P09525,ANXA4_HUMAN,ANXA4,Annexin A4,9,9,219210,186385,195169
P09543,CN37_HUMAN,CNP,"2',3'-cyclic-nucleotide 3'-phosphodiesterase",8,8,177486,211746,224756
P09620,KEX1_YEAST,KEX1,Pheromone-processing carboxypeptidase KEX1,2,2,37612.4,36043.9,38169.6
P09622,DLDH_HUMAN,DLD,"Dihydrolipoyl dehydrogenase, mitochondrial",5,5,458779,628961,506659
P09624,DLDH_YEAST,LPD1,"Dihydrolipoyl dehydrogenase, mitochondrial",11,11,487606,395159,401521
P09651,ROA1_HUMAN,HNRNPA1,Heterogeneous nuclear ribonucleoprotein A1,10,0,6.62E+06,7.90E+06,7.82E+06
P09661,RU2A_HUMAN,SNRPA1,U2 small nuclear ribonucleoprotein A',9,9,476437,440578,446315
P09669,COX6C_HUMAN,COX6C,Cytochrome c oxidase subunit 6C,3,3,643509,517611,516382
P09733,TBA1_YEAST,TUB1,Tubulin alpha-1 chain,5,3,436974,353876,362775
P09734,TBA3_YEAST,TUB3,Tubulin alpha-3 chain,3,3,146203,112142,100077
P09758,TACD2_HUMAN,TACSTD2,Tumor-associated calcium signal transducer 2,1,1,,,
P09874,PARP1_HUMAN,PARP1,Poly [ADP-ribose] polymerase 1,21,21,598203,549058,578364
P09880,TRNL_YEAST,TRL1,tRNA ligase,5,5,19764.8,27438.9,16330.6
P09884,DPOLA_HUMAN,POLA1,DNA polymerase alpha catalytic subunit,16,16,85560.7,83461.6,92395.1
P09914,IFIT1_HUMAN,IFIT1,Interferon-induced protein with tetratricopeptide repeats 1,3,1,,3779.98,
P09938,RIR2_YEAST,RNR2,Ribonucleoside-diphosphate reductase small chain 1,8,8,2.13E+06,1.97E+06,1.71E+06
P09950,HEM1_YEAST,HEM1,"5-aminolevulinate synthase, mitochondrial",3,3,46399.8,38540.3,37196.8
P09959,SWI6_YEAST,SWI6,Regulatory protein SWI6,3,3,14375.9,24336.4,15608.2
P09960,LKHA4_HUMAN,LTA4H,Leukotriene A-4 hydrolase,15,15,572829,538918,484870
P09972,ALDOC_HUMAN,ALDOC,Fructose-bisphosphate aldolase C,6,6,1.04E+06,901901,864069
P0A6Y8,DNAK_ECOLI,dnaK,Chaperone protein DnaK,1,1,71849.3,46945.1,31746.9
P0A8T1,PRMA_ECOLI,prmA,Ribosomal protein L11 methyltransferase,1,1,128270,96458,74431.7
P0A988,DPO3B_ECOLI,dnaN,Beta sliding clamp,1,1,20668.9,28301.7,26634.6
P0C0L4,CO4A_HUMAN,C4A,Complement C4-A,4,1,426408,627312,479741
P0C0S5;Q71UI9,H2AV_HUMAN;H2AZ_HUMAN,H2AZ1;H2AZ2,Histone H2A.Z,2,0,3.58E+06,2.97E+06,3.02E+06
P0C0T4;Q3E792,RS25A_YEAST;RS25B_YEAST,RPS25A;RPS25B,Small ribosomal subunit protein eS25B,2,0,694659,758494,720177
P0C0V8;Q3E754,RS21A_YEAST;RS21B_YEAST,RPS21A;RPS21B,Small ribosomal subunit protein eS21A,4,0,4.16E+06,3.56E+06,3.93E+06
P0C0W1,RS22A_YEAST,RPS22A,Small ribosomal subunit protein uS8A,3,1,1.39E+06,1.15E+06,1.08E+06
P0C0W9;Q3E757,RL11A_YEAST;RL11B_YEAST,RPL11A;RPL11B,Large ribosomal subunit protein uL5A,2,0,6.82E+06,7.20E+06,7.26E+06
P0C0X0;Q3E7X9,RS28A_YEAST;RS28B_YEAST,RPS28A;RPS28B,Small ribosomal subunit protein eS28B,2,0,1.24E+06,755008,791659
P0C1Z6,TFPT_HUMAN,TFPT,TCF3 fusion partner,1,1,8077.56,6360.42,5160.29
P0C2H6;P0C2H7,RL27A_YEAST;RL27B_YEAST,RPL27A;RPL27B,Large ribosomal subunit protein eL27A,3,0,4.49E+06,5.56E+06,5.49E+06
P0C2H8,RL31A_YEAST,RPL31A,Large ribosomal subunit protein eL31A,6,1,4.01E+06,3.57E+06,3.68E+06
P0C2I3;P0C2I5;P0C2I7;P47098;P47100;Q03434;Q03612;Q12141;Q12273;Q12414,YD15B_YEAST;YE11B_YEAST;YG11B_YEAST;YJ11B_YEAST;YJ12B_YEAST;YL12B_YEAST;YL14B_YEAST;YM12B_YEAST;YO11B_YEAST;YP11B_YEAST,TY1B-DR6;TY1B-ER1;TY1B-GR1;TY1B-JR1;TY1B-JR2;TY1B-LR2;TY1B-LR4;TY1B-ML2;TY1B-OL;TY1B-PL,Transposon Ty1-DR6 Gag-Pol polyprotein,10,0,799660,801774,844770
P0C2J3;P0C2J5;P0CX63;P0CX64;P25384;Q03494;Q12113;Q12337;Q12501,YC21B_YEAST;YD22B_YEAST;YF21B_YEAST;YG21B_YEAST;YG22B_YEAST;YL21B_YEAST;YL22B_YEAST;YO21B_YEAST;YO22B_YEAST,TY2B-C;TY2B-DR2;TY2B-F;TY2B-GR1;TY2B-GR2;TY2B-LR1;TY2B-LR2;TY2B-OR1;TY2B-OR2,Transposon Ty2-LR1 Gag-Pol polyprotein,2,0,,4074.26,3107.66
P0C7P0,CISD3_HUMAN,CISD3,"CDGSH iron-sulfur domain-containing protein 3, mitochondrial",1,1,39020.2,38402.1,41916.4
P0C7T5,ATX1L_HUMAN,ATXN1L,Ataxin-1-like,1,1,4036.72,6376.81,3181.65
P0CAP2,GRL1A_HUMAN,POLR2M,DNA-directed RNA polymerase II subunit GRINL1A,3,3,10288.7,9166.65,9037.88
P0CE11;P40107,GMT1_YEAST;GMT2_YEAST,HVG1;VRG4,Probable GDP-mannose transporter 2,1,0,9224.76,4539.79,4386.29
P0CG12,DERPC_HUMAN,DERPC,Decreased expression in renal and prostate cancer protein,20,20,76509.7,74769.7,65481.1
P0CG29;P0CG30,GST2_HUMAN;GSTT2_HUMAN,GSTT2;GSTT2B,Glutathione S-transferase theta-2,2,0,10504.9,10347.9,10044.9
P0CG34;P0CG35;P0DX04,TB15A_HUMAN;TB15B_HUMAN;TB15C_HUMAN,TMSB15A;TMSB15B;TMSB15C,Thymosin beta-15A,1,0,,29670.2,
P0CH08;P0CH09,RL40A_YEAST;RL40B_YEAST,RPL40A;RPL40B,Ubiquitin-ribosomal protein eL40A fusion protein,1,0,,14970.7,8229.27
P0CS90,HSP77_YEAST,SSC1,"Import motor subunit, mitochondrial",13,11,4.05E+06,4.80E+06,4.91E+06
P0CT04,IPB2_YEAST,PBI2,Protease B inhibitor 2,2,2,143754,133491,112648
P0CX12;P0CX13;P40587;P43542;P53344;P53822,COS1_YEAST;COS2_YEAST;COS3_YEAST;COS4_YEAST;COS6_YEAST;YIW3_YEAST,COS1;COS2;COS3;COS4;COS6;YIR043C,Protein COS2,1,0,,,
P0CX23;P0CX24,RL20A_YEAST;RL20B_YEAST,RPL20A;RPL20B,Large ribosomal subunit protein eL20A,2,0,2.19E+06,2.23E+06,2.84E+06
P0CX25;P0CX26,RL43A_YEAST;RL43B_YEAST,RPL43A;RPL43B,Large ribosomal subunit protein eL43A,3,0,650659,705761,669843
P0CX29;P0CX30,RS23A_YEAST;RS23B_YEAST,RPS23A;RPS23B,Small ribosomal subunit protein uS12A,2,0,108400,120788,114207
P0CX35;P0CX36,RS4A_YEAST;RS4B_YEAST,RPS4A;RPS4B,Small ribosomal subunit protein eS4A,9,0,5.65E+06,5.08E+06,4.78E+06
P0CX37;P0CX38,RS6A_YEAST;RS6B_YEAST,RPS6A;RPS6B,Small ribosomal subunit protein eS6A,7,0,7.31E+06,6.41E+06,6.28E+06
P0CX39;P0CX40,RS8A_YEAST;RS8B_YEAST,RPS8A;RPS8B,Small ribosomal subunit protein eS8A,4,0,3.99E+06,4.66E+06,4.66E+06
P0CX41;P0CX42,RL23A_YEAST;RL23B_YEAST,RPL23A;RPL23B,Large ribosomal subunit protein uL14A,3,0,247483,235040,227887
