Protein.Group,Protein.Names,Genes,First.Protein.Description,N.Sequences,N.Proteotypic.Sequences,HYEA_1,HYEA_2,HYEA_3
P63000,RAC1_HUMAN,RAC1,Ras-related C3 botulinum toxin substrate 1,3,1,391652,452826,425287
P63010,AP2B1_HUMAN,AP2B1,AP-2 complex subunit beta,21,11,307816,288755,280597
P63092;Q5JWF2,GNAS1_HUMAN;GNAS2_HUMAN,GNAS,Guanine nucleotide-binding protein G(s) subunit alpha isoforms short,3,3,176753,161358,158459
P63096,GNAI1_HUMAN,GNAI1,Guanine nucleotide-binding protein G(i) subunit alpha-1,1,1,,,
P63098,CANB1_HUMAN,PPP3R1,Calcineurin subunit B type 1,3,2,53187.3,53074.5,57057.7
P63104,1433Z_HUMAN,YWHAZ,14-3-3 protein zeta/delta,9,8,4.44E+06,5.35E+06,5.19E+06
P63146,UBE2B_HUMAN,UBE2B,Ubiquitin-conjugating enzyme E2 B,1,0,20692.4,18580.4,10004.4
P63151,2ABA_HUMAN,PPP2R2A,Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B alpha isoform,6,2,293022,285032,258191
P63165,SUMO1_HUMAN,SUMO1,Small ubiquitin-related modifier 1,2,1,24253.5,28176.9,30528.1
P63172,DYLT1_HUMAN,DYNLT1,Dynein light chain Tctex-type 1,1,1,46581,34130,20815
P63173,RL38_HUMAN,RPL38,Large ribosomal subunit protein eL38,2,2,1.15E+06,751144,636912
P63208,SKP1_HUMAN,SKP1,S-phase kinase-associated protein 1,5,5,507409,538202,526120
P63218,GBG5_HUMAN,GNG5,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-5,2,1,129314,148316,104282
P63220,RS21_HUMAN,RPS21,Small ribosomal subunit protein eS21,3,3,146829,176819,125693
P63241;Q6IS14;Q9GZV4,IF5A1_HUMAN;IF5A2_HUMAN;IF5AL_HUMAN,EIF5A;EIF5A2;EIF5AL1,Eukaryotic translation initiation factor 5A-1,3,0,2.45E+06,2.13E+06,1.39E+06
P63244,RACK1_HUMAN,RACK1,Small ribosomal subunit protein RACK1,12,12,3.17E+06,2.97E+06,2.70E+06
P63272,SPT4H_HUMAN,SUPT4H1,Transcription elongation factor SPT4,2,2,31612.3,12670.8,23489
P63279,UBC9_HUMAN,UBE2I,SUMO-conjugating enzyme UBC9,4,4,503717,460627,464622
P63313,TYB10_HUMAN,TMSB10,Thymosin beta-10,1,1,8.21E+06,8.05E+06,7.21E+06
P67809,YBOX1_HUMAN,YBX1,Y-box-binding protein 1,2,2,561804,730593,777043
P67812,SC11A_HUMAN,SEC11A,Signal peptidase complex catalytic subunit SEC11A,4,3,165957,156144,161093
P67870,CSK2B_HUMAN,CSNK2B,Casein kinase II subunit beta,2,2,215421,260939,261663
P67936,TPM4_HUMAN,TPM4,Tropomyosin alpha-4 chain,6,4,747115,825390,829610
P68032,ACTC_HUMAN,ACTC1,"Actin, alpha cardiac muscle 1",2,0,30817.9,35788.2,19523.6
P68036,UB2L3_HUMAN,UBE2L3,Ubiquitin-conjugating enzyme E2 L3,3,1,544654,736528,751114
P68104,EF1A1_HUMAN,EEF1A1,Elongation factor 1-alpha 1,8,0,3.62E+06,3.41E+06,3.65E+06
P68366,TBA4A_HUMAN,TUBA4A,Tubulin alpha-4A chain,8,2,1.09E+07,7.94E+06,7.82E+06
P68371,TBB4B_HUMAN,TUBB4B,Tubulin beta-4B chain,3,1,6.21E+06,6.92E+06,6.81E+06
P68400,CSK21_HUMAN,CSNK2A1,Casein kinase II subunit alpha,5,2,155778,129432,130468
P68402,PA1B2_HUMAN,PAFAH1B2,Platelet-activating factor acetylhydrolase IB subunit alpha2,2,2,14427,20837.9,18394.1
P68871,HBB_HUMAN,HBB,Hemoglobin subunit beta,4,1,6.20E+06,4.13E+06,4.39E+06
P69771,DID2_YEAST,DID2,Vacuolar protein-sorting-associated protein 46,5,5,55393.4,51861.2,59424.8
P69850,DAD3_YEAST,DAD3,DASH complex subunit DAD3,2,2,19578.3,13786,14083.6
P69852,HSK3_YEAST,HSK3,DASH complex subunit HSK3,1,1,13015.8,27299.3,23664.5
P69905,HBA_HUMAN,HBA1,Hemoglobin subunit alpha,4,4,1.54E+07,1.20E+07,1.11E+07
P76518,ACOCT_ECOLI,yfdE,Acetyl-CoA:oxalate CoA-transferase,1,1,281501,214252,211190
P78310,CXAR_HUMAN,CXADR,Coxsackievirus and adenovirus receptor,5,5,63832.7,81820,88452.7
P78316,NOP14_HUMAN,NOP14,Nucleolar protein 14,10,10,43424.2,41406.9,41451.3
P78318,IGBP1_HUMAN,IGBP1,Immunoglobulin-binding protein 1,9,8,101877,92989.1,97983.1
P78330,SERB_HUMAN,PSPH,Phosphoserine phosphatase,7,7,243159,215022,203125
P78332,RBM6_HUMAN,RBM6,RNA-binding protein 6,10,10,18055.8,19567.1,20508.2
P78337;Q99697,PITX1_HUMAN;PITX2_HUMAN,PITX1;PITX2,Pituitary homeobox 1,1,0,5264.36,10247,
P78344,IF4G2_HUMAN,EIF4G2,Eukaryotic translation initiation factor 4 gamma 2,23,23,192814,193971,189742
P78345,RPP38_HUMAN,RPP38,Ribonuclease P protein subunit p38,6,6,30654.4,31507.5,32016.7
P78346,RPP30_HUMAN,RPP30,Ribonuclease P protein subunit p30,7,7,52497.4,52793.1,49792.8
P78347,GTF2I_HUMAN,GTF2I,General transcription factor II-I,13,13,340846,312227,301489
P78356,PI42B_HUMAN,PIP4K2B,Phosphatidylinositol 5-phosphate 4-kinase type-2 beta,2,2,5953.22,12098.6,8576.22
P78357,CNTP1_HUMAN,CNTNAP1,Contactin-associated protein 1,1,1,,,
P78362,SRPK2_HUMAN,SRPK2,SRSF protein kinase 2,5,5,18723,12424.2,17082.4
P78368;Q9Y6M4,KC1G2_HUMAN;KC1G3_HUMAN,CSNK1G2;CSNK1G3,Casein kinase I isoform gamma-2,2,0,35505.2,28992.8,30599
P78371,TCPB_HUMAN,CCT2,T-complex protein 1 subunit beta,19,19,1.78E+06,1.63E+06,1.54E+06
P78380,OLR1_HUMAN,OLR1,Oxidized low-density lipoprotein receptor 1,1,1,18371,12902.6,12350.2
P78381,S35A2_HUMAN,SLC35A2,UDP-galactose translocator,2,2,2189.73,4091.87,1804.62
P78382,S35A1_HUMAN,SLC35A1,CMP-sialic acid transporter,3,3,16551.3,20649.6,21049.1
P78406,RAE1L_HUMAN,RAE1,mRNA export factor RAE1,5,5,178774,132020,113608
P78417,GSTO1_HUMAN,GSTO1,Glutathione S-transferase omega-1,7,7,909026,997789,899708
P78508,KCJ10_HUMAN,KCNJ10,ATP-sensitive inward rectifier potassium channel 10,1,1,21878.2,12873.8,
P78509,RELN_HUMAN,RELN,Reelin,2,2,1913.62,1860.88,3607.66
P78527,PRKDC_HUMAN,PRKDC,DNA-dependent protein kinase catalytic subunit,83,83,1.11E+06,1.04E+06,1.01E+06
P78536,ADA17_HUMAN,ADAM17,Disintegrin and metalloproteinase domain-containing protein 17,7,7,15157.5,15274.1,11743.1
P78537,BL1S1_HUMAN,BLOC1S1,Biogenesis of lysosome-related organelles complex 1 subunit 1,3,3,49835.9,31659.3,33701.9
P78549,NTH_HUMAN,NTHL1,Endonuclease III-like protein 1,3,3,17734.9,17284.7,15362.1
P78563,RED1_HUMAN,ADARB1,Double-stranded RNA-specific editase 1,3,3,24758.5,28831.2,27054.3
P80210,PURA_YEAST,ADE12,Adenylosuccinate synthetase,9,9,762124,674429,669450
P80217,IN35_HUMAN,IFI35,Interferon-induced 35 kDa protein,5,5,53274.6,59304.9,68455.8
P80297,MT1X_HUMAN,MT1X,Metallothionein-1X,1,1,31357.6,37400.1,35483.2
P80303,NUCB2_HUMAN,NUCB2,Nucleobindin-2,4,4,146567,194524,231066
P80428,ARP4_YEAST,ARP4,Actin-related protein 4,5,5,22954.1,28963.6,32150.7
P80723,BASP1_HUMAN,BASP1,Brain acid soluble protein 1,13,13,2.28E+06,2.94E+06,3.20E+06
P80967,TOM5_YEAST,TOM5,Mitochondrial import receptor subunit TOM5,1,1,40279.9,36360.5,29511.1
P82094,TMF1_HUMAN,TMF1,TATA element modulatory factor,3,3,4743.98,8716.37,5100.33
P82650,RT22_HUMAN,MRPS22,Small ribosomal subunit protein mS22,6,6,111333,117500,113461
P82663,RT25_HUMAN,MRPS25,Small ribosomal subunit protein mS25,4,4,83774.5,63359.8,56314.4
P82664,RT10_HUMAN,MRPS10,Small ribosomal subunit protein uS10m,2,2,113247,81465.5,91573.2
P82673,RT35_HUMAN,MRPS35,Small ribosomal subunit protein mS35,4,4,74601.3,71300.1,68996.4
P82675,RT05_HUMAN,MRPS5,Small ribosomal subunit protein uS5m,4,4,57829,61535.9,63225.2
P82909,KGD4_HUMAN,KGD4,Alpha-ketoglutarate dehydrogenase component 4,2,2,120669,99598.2,104324
P82912,RT11_HUMAN,MRPS11,Small ribosomal subunit protein uS11m,2,2,49175.3,46791.7,52161.5
P82914,RT15_HUMAN,MRPS15,Small ribosomal subunit protein uS15m,5,5,28911.4,22371.4,23610.7
P82921,RT21_HUMAN,MRPS21,Small ribosomal subunit protein bS21m,2,2,44447.1,50441.9,40906.4
P82930,RT34_HUMAN,MRPS34,Small ribosomal subunit protein mS34,2,2,36785.4,36710,49612.8
P82932,RT06_HUMAN,MRPS6,Small ribosomal subunit protein bS6m,1,1,105891,88715.9,83914.2
P82933,RT09_HUMAN,MRPS9,Small ribosomal subunit protein uS9m,5,5,95921.7,114728,110806
P82970,HMGN5_HUMAN,HMGN5,High mobility group nucleosome-binding domain-containing protein 5,7,7,360292,251601,258274
P82979,SARNP_HUMAN,SARNP,SAP domain-containing ribonucleoprotein,2,2,417002,453412,473534
P83111,LACTB_HUMAN,LACTB,"Serine beta-lactamase-like protein LACTB, mitochondrial",3,3,25013,23073.3,17003.7
P83436,COG7_HUMAN,COG7,Conserved oligomeric Golgi complex subunit 7,3,3,24129.1,16133.9,17345.1
P83731,RL24_HUMAN,RPL24,Large ribosomal subunit protein eL24,3,3,1.59E+06,1.57E+06,1.86E+06
P83876,TXN4A_HUMAN,TXNL4A,Thioredoxin-like protein 4A,2,2,162538,155764,167606
P83881,RL36A_HUMAN,RPL36A,Large ribosomal subunit protein eL42,2,1,49324.4,55380.6,46256.3
P83916,CBX1_HUMAN,CBX1,Chromobox protein homolog 1,1,1,132030,95338.4,104827
P84085,ARF5_HUMAN,ARF5,ADP-ribosylation factor 5,2,2,153145,170780,186397
P84090,ERH_HUMAN,ERH,Enhancer of rudimentary homolog,3,3,717083,690792,717864
P84095,RHOG_HUMAN,RHOG,Rho-related GTP-binding protein RhoG,1,1,129994,180511,181674
