Protein.Group,Protein.Names,Genes,First.Protein.Description,N.Sequences,N.Proteotypic.Sequences,HYEA_rep111,HYEA_rep112,HYEA_rep113,HYEA_rep114
P10589;P24468,COT1_HUMAN;COT2_HUMAN,NR2F1;NR2F2,COUP transcription factor 1,2,0,,13889.6,,14336.7
P10591,HSP71_YEAST,SSA1,Heat shock protein SSA1,13,3,5.17E+06,5.92E+06,5.17E+06,5.66E+06
P10592,HSP72_YEAST,SSA2,Heat shock protein SSA2,4,4,3.88E+06,3.94E+06,3.89E+06,4.10E+06
P10599,THIO_HUMAN,TXN,Thioredoxin,4,4,3.23E+06,3.60E+06,3.24E+06,3.35E+06
P10606,COX5B_HUMAN,COX5B,"Cytochrome c oxidase subunit 5B, mitochondrial",3,3,1.49E+06,1.58E+06,1.55E+06,1.67E+06
P10614,CP51_YEAST,ERG11,Lanosterol 14-alpha demethylase CYP51,3,3,27616.8,21768.2,24366.8,15000.8
P10619,PPGB_HUMAN,CTSA,Lysosomal protective protein,2,2,115255,105181,78230.9,90059
P10620,MGST1_HUMAN,MGST1,Microsomal glutathione S-transferase 1,2,2,718904,838084,789366,845683
P10644,KAP0_HUMAN,PRKAR1A,cAMP-dependent protein kinase type I-alpha regulatory subunit,3,3,75899.1,100119,90609,107626
P10659,METK1_YEAST,SAM1,S-adenosylmethionine synthase 1,9,5,896947,1.07E+06,908925,936958
P10662,RT01_YEAST,MRP1,Small ribosomal subunit protein mS43,3,3,5355.2,6780.54,2731.39,8217.18
P10664,RL4A_YEAST,RPL4A,Large ribosomal subunit protein uL4A,1,1,401776,599484,476847,561018
P10746,HEM4_HUMAN,UROS,Uroporphyrinogen-III synthase,3,3,1558.11,1147.36,,1035.71
P10768,ESTD_HUMAN,ESD,S-formylglutathione hydrolase,2,2,311532,438536,450049,461501
P10809,CH60_HUMAN,HSPD1,"60 kDa heat shock protein, mitochondrial",11,11,4.56E+06,5.46E+06,4.71E+06,5.54E+06
P10823,GPA2_YEAST,GPA2,Guanine nucleotide-binding protein alpha-2 subunit,1,1,11180.3,,14428.8,18599.6
P10869,AK_YEAST,HOM3,Aspartokinase,3,3,,22902.8,32764.9,28693
P10908,UGPQ_ECOLI,ugpQ,"Glycerophosphodiester phosphodiesterase, cytoplasmic",2,2,,,,
P10909,CLUS_HUMAN,CLU,Clusterin,6,6,353369,382273,392267,399183
P10963,PCKA_YEAST,PCK1,Phosphoenolpyruvate carboxykinase (ATP),4,4,12972.7,7692.02,11979.7,10275.6
P10964,RPA1_YEAST,RPA190,DNA-directed RNA polymerase I subunit RPA190,12,12,41560.7,41736.4,45113.7,43344.9
P11021,BIP_HUMAN,HSPA5,Endoplasmic reticulum chaperone BiP,16,14,1.13E+07,1.33E+07,1.20E+07,1.31E+07
P11047,LAMC1_HUMAN,LAMC1,Laminin subunit gamma-1,9,9,33297.2,18376.4,37771.2,33252.5
P11075,SEC7_YEAST,SEC7,ADP-ribosylation factor guanine nucleotide-exchange factor SEC7,10,10,52311.9,62346.4,53601.2,58254
P11076,ARF1_YEAST,ARF1,ADP-ribosylation factor 1,7,2,793106,993754,842243,893931
P11117,PPAL_HUMAN,ACP2,Lysosomal acid phosphatase,5,5,87054,92043.6,102871,119797
P11142,HSP7C_HUMAN,HSPA8,Heat shock cognate 71 kDa protein,17,11,1.18E+07,1.34E+07,1.19E+07,1.30E+07
P11154,PYC1_YEAST,PYC1,Pyruvate carboxylase 1,10,3,350454,397480,389926,289091
P11169,GTR3_HUMAN,SLC2A3,"Solute carrier family 2, facilitated glucose transporter member 3",1,1,,7585.8,5791.69,3735.66
P11171,EPB41_HUMAN,EPB41,Protein 4.1,2,2,46899.6,52861.5,51849.9,47452.2
P11172,UMPS_HUMAN,UMPS,Uridine 5'-monophosphate synthase,3,3,249907,282416,246837,276246
P11177,ODPB_HUMAN,PDHB,"Pyruvate dehydrogenase E1 component subunit beta, mitochondrial",7,7,271840,341732,268866,315652
P11182,ODB2_HUMAN,DBT,"Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial",4,4,65424.5,72494.5,58013.6,65870
P11216,PYGB_HUMAN,PYGB,"Glycogen phosphorylase, brain form",5,4,88634,149773,135015,131740
P11233,RALA_HUMAN,RALA,Ras-related protein Ral-A,2,1,131404,134747,131588,
P11234,RALB_HUMAN,RALB,Ras-related protein Ral-B,1,1,12347,14298.1,18699.9,18723.5
P11274,BCR_HUMAN,BCR,Breakpoint cluster region protein,3,2,,,11927,
P11279,LAMP1_HUMAN,LAMP1,Lysosome-associated membrane glycoprotein 1,5,5,905394,1.15E+06,935161,994528
P11310,ACADM_HUMAN,ACADM,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",6,6,259602,268165,277404,270212
P11353,HEM6_YEAST,HEM13,Oxygen-dependent coproporphyrinogen-III oxidase,1,1,99823.6,99249.3,116024,111991
P11387,TOP1_HUMAN,TOP1,DNA topoisomerase 1,13,11,379923,420852,383599,415811
P11388,TOP2A_HUMAN,TOP2A,DNA topoisomerase 2-alpha,15,10,298566,358162,340681,355635
P11412,G6PD_YEAST,ZWF1,Glucose-6-phosphate 1-dehydrogenase,5,5,107910,125692,126616,84948.1
P11413,G6PD_HUMAN,G6PD,Glucose-6-phosphate 1-dehydrogenase,10,9,878539,1.03E+06,859576,1.02E+06
P11441,UBL4A_HUMAN,UBL4A,Ubiquitin-like protein 4A,4,4,74274.1,85879.7,84768.9,66335.4
P11447,ARLY_ECOLI,argH,Argininosuccinate lyase,1,1,,,,
P11454,ENTF_ECOLI,entF,Enterobactin synthase component F,3,3,,,,
P11484,SSB1_YEAST,SSB1,Ribosome-associated molecular chaperone SSB1,12,1,4.74E+06,5.63E+06,4.93E+06,5.46E+06
P11491,PPB_YEAST,PHO8,Repressible alkaline phosphatase,1,1,,,,
P11498,PYC_HUMAN,PC,"Pyruvate carboxylase, mitochondrial",13,13,133291,149989,142452,141721
P11532,DMD_HUMAN,DMD,Dystrophin,4,4,112317,172766,134318,141600
P11557,DAMX_ECOLI,damX,Cell division protein DamX,2,2,,,,
P11586,C1TC_HUMAN,MTHFD1,"C-1-tetrahydrofolate synthase, cytoplasmic",19,19,968150,1.16E+06,990691,1.06E+06
P11632,NHP6A_YEAST,NHP6A,Non-histone chromosomal protein 6A,1,1,223967,112631,185618,98016.4
P11633,NHP6B_YEAST,NHP6B,Non-histone chromosomal protein 6B,1,1,216264,258673,257586,301647
P11655,SEC12_YEAST,SEC12,Guanine nucleotide-exchange factor SEC12,1,1,1949.11,1296.33,1443.73,1448.9
P11717,MPRI_HUMAN,IGF2R,Cation-independent mannose-6-phosphate receptor,21,21,101303,111356,119000,108697
P11745,RNA1_YEAST,RNA1,Ran GTPase-activating protein 1,4,4,146787,136124,133045,167624
P11766,ADHX_HUMAN,ADH5,Alcohol dehydrogenase class-3,2,2,285230,354423,300415,384380
P11792,SCH9_YEAST,SCH9,Serine/threonine-protein kinase SCH9,1,1,487.441,,,
P11802,CDK4_HUMAN,CDK4,Cyclin-dependent kinase 4,4,4,13517.8,18768.1,17203.1,20431.8
P11875,SYR_ECOLI,argS,Arginine--tRNA ligase,10,10,17587.3,25951.4,19428.7,18415.7
P11880,MURF_ECOLI,murF,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase,1,1,49351.5,,,
P11908,PRPS2_HUMAN,PRPS2,Ribose-phosphate pyrophosphokinase 2,3,2,50633.5,76675.9,64985.6,41741.4
P11914,MPPA_YEAST,MAS2,Mitochondrial-processing peptidase subunit alpha,4,4,9952.2,6010.45,9570.17,8166
P11938,RAP1_YEAST,RAP1,DNA-binding protein RAP1,3,3,2583,1977.53,2138.6,3076.39
P11940,PABP1_HUMAN,PABPC1,Polyadenylate-binding protein 1,9,2,2.26E+06,2.74E+06,2.25E+06,2.60E+06
P12004,PCNA_HUMAN,PCNA,Proliferating cell nuclear antigen,8,8,2.06E+06,2.29E+06,2.27E+06,2.45E+06
P12081,HARS1_HUMAN,HARS1,"Histidine--tRNA ligase, cytoplasmic",9,6,304507,400929,376622,385420
P12110,CO6A2_HUMAN,COL6A2,Collagen alpha-2(VI) chain,1,1,,,,
P12111,CO6A3_HUMAN,COL6A3,Collagen alpha-3(VI) chain,1,1,3074.45,4578.21,,5504.49
P12235,ADT1_HUMAN,SLC25A4,ADP/ATP translocase 1,2,2,131887,163549,107205,169610
P12236,ADT3_HUMAN,SLC25A6,ADP/ATP translocase 3,3,2,410018,512638,542524,536179
P12259,FA5_HUMAN,F5,Coagulation factor V,5,5,94627.2,119244,106089,104996
P12268,IMDH2_HUMAN,IMPDH2,Inosine-5'-monophosphate dehydrogenase 2,12,11,549801,632272,530012,661075
P12270,TPR_HUMAN,TPR,Nucleoprotein TPR,37,37,336158,373657,338885,333399
P12277,KCRB_HUMAN,CKB,Creatine kinase B-type,4,3,113848,159642,124577,112346
P12281,MOEA_ECOLI,moeA,Molybdopterin molybdenumtransferase,3,3,13457,44817.2,21703.7,19027.1
P12282,MOEB_ECOLI,moeB,Molybdopterin-synthase adenylyltransferase,1,1,,,,
P12295,UNG_ECOLI,ung,Uracil-DNA glycosylase,1,1,,,,
P12385,ERF1_YEAST,SUP45,Eukaryotic peptide chain release factor subunit 1,7,7,124379,133398,116436,134224
P12429,ANXA3_HUMAN,ANXA3,Annexin A3,8,8,779006,923059,794375,847988
P12612,TCPA_YEAST,TCP1,T-complex protein 1 subunit alpha,5,5,99686.2,117166,108763,117687
P12683,HMDH1_YEAST,HMG1,3-hydroxy-3-methylglutaryl-coenzyme A reductase 1,1,1,,2486.67,,
P12684,HMDH2_YEAST,HMG2,3-hydroxy-3-methylglutaryl-coenzyme A reductase 2,6,5,13592.9,11090.8,9600.12,11042.6
P12688,YPK1_YEAST,YPK1,Serine/threonine-protein kinase YPK1,3,2,16365.5,17452.4,16156.8,24398.8
P12694,ODBA_HUMAN,BCKDHA,"2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial",4,4,26635.6,19491.4,22950.7,19367.5
P12695,ODP2_YEAST,LAT1,"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial",3,3,217753,257718,234239,237243
P12709,G6PI_YEAST,PGI1,Glucose-6-phosphate isomerase,5,5,1.21E+06,1.35E+06,1.31E+06,1.39E+06
P12754,EI2BD_YEAST,GCD2,Translation initiation factor eIF2B subunit delta,3,3,27277.7,47862.6,,
P12758,UDP_ECOLI,udp,Uridine phosphorylase,5,5,107369,129368,113850,146832
P12814,ACTN1_HUMAN,ACTN1,Alpha-actinin-1,9,6,493225,543125,528079,558178
P12904,AAKG_YEAST,SNF4,5'-AMP-activated protein kinase subunit gamma,3,3,,18939.7,14147.1,18291
P12945,NAT1_YEAST,NAT1,N-terminal acetyltransferase A complex subunit NAT1,3,3,85211.6,78627.4,73262.9,67847.2
P12955,PEPD_HUMAN,PEPD,Xaa-Pro dipeptidase,1,1,31828.9,30324.1,34711.1,
P12956,XRCC6_HUMAN,XRCC6,X-ray repair cross-complementing protein 6,9,9,1.36E+06,1.50E+06,1.30E+06,1.55E+06
P13009,METH_ECOLI,metH,Methionine synthase,7,7,14297.9,12877.1,,13900.1
P13010,XRCC5_HUMAN,XRCC5,X-ray repair cross-complementing protein 5,11,11,1.14E+06,1.54E+06,1.22E+06,1.24E+06
P13016,AMPD_ECOLI,ampD,"1,6-anhydro-N-acetylmuramyl-L-alanine amidase AmpD",2,2,,,,
P13024,FDHE_ECOLI,fdhE,Protein FdhE,4,4,15779,,,16176.2
P13029,KATG_ECOLI,katG,Catalase-peroxidase,6,6,137340,139992,156761,122430
P13033,GLPB_ECOLI,glpB,Anaerobic glycerol-3-phosphate dehydrogenase subunit B,2,2,3186.39,,,
P13035,GLPD_ECOLI,glpD,Aerobic glycerol-3-phosphate dehydrogenase,3,3,,23308.1,11909.3,
P13051,UNG_HUMAN,UNG,Uracil-DNA glycosylase,1,1,27023.3,26097.2,17930.9,11339.7
P13073,COX41_HUMAN,COX4I1,"Cytochrome c oxidase subunit 4 isoform 1, mitochondrial",5,5,670288,845642,774855,821191
P13185,KIN1_YEAST,KIN1,Serine/threonine protein kinase KIN1,2,2,3466.39,,,2588.28
P13188,SYQ_YEAST,GLN4,Glutamine--tRNA ligase,13,13,168707,180035,174505,186768
P13196,HEM1_HUMAN,ALAS1,"5-aminolevulinate synthase, non-specific, mitochondrial",1,1,662.629,,,
P13259,PCY1_YEAST,PCT1,Choline-phosphate cytidylyltransferase,1,1,,,1782.37,
P13298,PYRE_YEAST,URA5,Orotate phosphoribosyltransferase 1,7,5,182435,233742,197684,207223
P13445,RPOS_ECOLI,rpoS,RNA polymerase sigma factor RpoS,1,1,17438.6,24957.7,19562.4,16934
P13482,TREA_ECOLI,treA,Periplasmic trehalase,8,8,56835.7,65589.1,57135.8,36217.7
P13489,RINI_HUMAN,RNH1,Ribonuclease inhibitor,8,8,310690,327986,333496,341333
P13497,BMP1_HUMAN,BMP1,Bone morphogenetic protein 1,1,1,,,,
P13498,CY24A_HUMAN,CYBA,Cytochrome b-245 light chain,1,1,12577,5266.17,10034.5,
P13517,CAPZB_YEAST,CAP2,F-actin-capping protein subunit beta,4,4,47041.4,49037,50867.3,50274.8
P13586,ATC1_YEAST,PMR1,Calcium-transporting ATPase 1,4,4,87944.5,99194.4,90603.4,102512
P13587,ATN1_YEAST,ENA1,Sodium/potassium exporting P-type ATPase 1,4,1,79855.8,96110.4,93121.5,95514.5
P13612,ITA4_HUMAN,ITGA4,Integrin alpha-4,1,1,8588.93,,,13230.9
P13639,EF2_HUMAN,EEF2,Elongation factor 2,18,18,7.16E+06,8.35E+06,7.62E+06,7.97E+06
P13645,K1C10_HUMAN,KRT10,"Keratin, type I cytoskeletal 10",13,11,405564,443044,383913,467004
P13663,DHAS_YEAST,HOM2,Aspartate-semialdehyde dehydrogenase,9,9,286296,437848,333013,339759
P13667,PDIA4_HUMAN,PDIA4,Protein disulfide-isomerase A4,17,17,962255,1.10E+06,1.01E+06,1.12E+06
P13674,P4HA1_HUMAN,P4HA1,Prolyl 4-hydroxylase subunit alpha-1,5,5,53122.5,49726.4,41681,47020.4
P13693,TCTP_HUMAN,TPT1,Translationally-controlled tumor protein,3,3,361503,390382,404326,411009
P13716,HEM2_HUMAN,ALAD,Delta-aminolevulinic acid dehydratase,1,1,10680.1,14066.6,11565.4,18926.3
P13726,TF_HUMAN,F3,Tissue factor,2,2,12225.4,14277.4,6589.46,5996.8
P13797,PLST_HUMAN,PLS3,Plastin-3,14,9,1.06E+06,1.24E+06,1.09E+06,1.17E+06
P13798,ACPH_HUMAN,APEH,Acylamino-acid-releasing enzyme,4,4,223195,217284,198980,205437
P13804,ETFA_HUMAN,ETFA,"Electron transfer flavoprotein subunit alpha, mitochondrial",4,4,713826,885449,830402,909267
P13807,GYS1_HUMAN,GYS1,"Glycogen [starch] synthase, muscle",3,3,94472.9,110047,99298.3,126389
P13856,RSR1_YEAST,RSR1,Ras-related protein RSR1,1,1,5218.73,,,
P13857,RIML_ECOLI,rimL,Ribosomal-protein-serine acetyltransferase,1,1,,,,
P13861,KAP2_HUMAN,PRKAR2A,cAMP-dependent protein kinase type II-alpha regulatory subunit,6,5,134519,131609,118788,172615
P13928,ANXA8_HUMAN,ANXA8,Annexin A8,2,0,,,13072.8,15694.2
P13929,ENOB_HUMAN,ENO3,Beta-enolase,7,6,120721,126453,103101,167467
P13984,T2FB_HUMAN,GTF2F2,General transcription factor IIF subunit 2,3,3,134175,182714,154209,167620
P13987,CD59_HUMAN,CD59,CD59 glycoprotein,3,3,264294,279568,299949,258397
P13995,MTDC_HUMAN,MTHFD2,"Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial",4,4,217237,257294,245460,240627
P14020,DPM1_YEAST,DPM1,Dolichol-phosphate mannosyltransferase,5,5,122905,109423,129948,157836
P14065,GCY1_YEAST,GCY1,Glycerol 2-dehydrogenase (NADP(+)),3,2,35288.4,41963,30834.3,45919.8
P14081,SELB_ECOLI,selB,Selenocysteine-specific elongation factor,2,2,,,18614.3,
P14120,RL30_YEAST,RPL30,Large ribosomal subunit protein eL30,2,2,245461,275273,293878,191617
P14126,RL3_YEAST,RPL3,Large ribosomal subunit protein uL3,5,5,891825,842316,892028,1.02E+06
P14164,ABF1_YEAST,ABF1,ARS-binding factor 1,1,1,4537.82,,,7122.6
P14174,MIF_HUMAN,MIF,Macrophage migration inhibitory factor,3,3,7.96E+06,1.01E+07,8.41E+06,9.62E+06
P14175,PROV_ECOLI,proV,Glycine betaine/proline betaine transport system ATP-binding protein ProV,3,3,35690.5,46494.1,,31963.6
P14210,HGF_HUMAN,HGF,Hepatocyte growth factor,1,1,33440.3,44924.2,29415.3,
P14314,GLU2B_HUMAN,PRKCSH,Glucosidase 2 subunit beta,9,9,1.25E+06,1.40E+06,1.33E+06,1.45E+06
P14324,FPPS_HUMAN,FDPS,Farnesyl pyrophosphate synthase,4,4,1.13E+06,1.27E+06,1.16E+06,1.14E+06
P14373,TRI27_HUMAN,TRIM27,Zinc finger protein RFP,2,2,11498.6,6363.46,5941.32,10959.7
P14384,CBPM_HUMAN,CPM,Carboxypeptidase M,5,5,188434,225578,203685,222674
P14406,CX7A2_HUMAN,COX7A2,"Cytochrome c oxidase subunit 7A2, mitochondrial",2,2,417297,479780,469666,473516
P14540,ALF_YEAST,FBA1,Fructose-bisphosphate aldolase,7,7,1.23E+06,1.11E+06,1.26E+06,1.31E+06
P14550,AK1A1_HUMAN,AKR1A1,Aldo-keto reductase family 1 member A1,4,4,147842,175381,165198,152804
P14618,KPYM_HUMAN,PKM,Pyruvate kinase PKM,17,16,2.01E+07,2.25E+07,2.06E+07,2.20E+07
P14621,ACYP2_HUMAN,ACYP2,Acylphosphatase-2,1,1,6926.15,,,
P14625,ENPL_HUMAN,HSP90B1,Endoplasmin,21,16,1.45E+07,1.78E+07,1.55E+07,1.80E+07
P14635,CCNB1_HUMAN,CCNB1,G2/mitotic-specific cyclin-B1,2,2,1980.27,2232.5,3879.12,5503.96
P14649,MYL6B_HUMAN,MYL6B,Myosin light chain 6B,3,1,2.88E+06,3.17E+06,2.96E+06,3.14E+06
P14678,RSMB_HUMAN,SNRPB,Small nuclear ribonucleoprotein-associated proteins B and B',5,1,12283.6,12636.6,17278.2,12469
P14680,YAK1_YEAST,YAK1,Dual specificity protein kinase YAK1,2,2,2812.59,2870.09,1926.15,2645.36
P14682,UBC3_YEAST,CDC34,Ubiquitin-conjugating enzyme E2-34 kDa,1,1,,,,
P14693,SAM35_YEAST,SAM35,Sorting assembly machinery 35 kDa subunit,2,2,,,,
P14735,IDE_HUMAN,IDE,Insulin-degrading enzyme,12,12,120146,136850,105993,106829
P14742,GFA1_YEAST,GFA1,Glutamine--fructose-6-phosphate aminotransferase [isomerizing],4,4,103779,169715,147564,155154
P14747,PP2B2_YEAST,CMP2,Serine/threonine-protein phosphatase 2B catalytic subunit A2,3,3,15573.9,18065.7,13285.6,9364.67
P14772,BPT1_YEAST,BPT1,Bile pigment transporter 1,1,1,,,,628.56
P14832,CYPH_YEAST,CPR1,Peptidyl-prolyl cis-trans isomerase,5,5,2.20E+06,3.60E+06,2.87E+06,2.76E+06
P14843,AROF_YEAST,ARO3,"Phospho-2-dehydro-3-deoxyheptonate aldolase, phenylalanine-inhibited",3,3,54359.4,51783.8,58677.7,74650.7
P14854,CX6B1_HUMAN,COX6B1,Cytochrome c oxidase subunit 6B1,2,2,67892.5,98385.9,77972.8,79683.6
P14866,HNRPL_HUMAN,HNRNPL,Heterogeneous nuclear ribonucleoprotein L,5,5,1.08E+06,1.18E+06,1.07E+06,1.14E+06
P14868,SYDC_HUMAN,DARS1,"Aspartate--tRNA ligase, cytoplasmic",13,11,572504,706586,612882,717930
P14900,MURD_ECOLI,murD,UDP-N-acetylmuramoylalanine--D-glutamate ligase,2,2,11212,,10325.5,
P14904,AMPL_YEAST,APE1,Vacuolar aminopeptidase 1,5,5,98744.1,112728,88088.2,108931
P14906,SEC63_YEAST,SEC63,Protein translocation protein SEC63,2,2,45512.5,64675.8,51699.1,67125.7
P14907,NSP1_YEAST,NSP1,Nucleoporin NSP1,5,5,36703.3,52831.2,48014.8,48636.5
P14908,MTF1_YEAST,MTF1,Mitochondrial transcription factor 1,1,1,,13491.3,,8018.18
P14922,CYC8_YEAST,CYC8,General transcriptional corepressor CYC8,3,3,3235.44,7197.99,,2670.86
P14923,PLAK_HUMAN,JUP,Junction plakoglobin,10,9,47004.2,52206.9,48527.2,48706.3
P14927,QCR7_HUMAN,UQCRB,Cytochrome b-c1 complex subunit 7,4,4,403561,418970,391916,432058
P15019,TAL1_YEAST,TAL1,Transaldolase,11,11,1.27E+06,1.48E+06,1.32E+06,1.48E+06
P15038,HELD_ECOLI,helD,DNA helicase IV,1,1,,,,
P15042,DNLJ_ECOLI,ligA,DNA ligase,6,6,8578.7,11599.1,,17629.4
P15047,ENTA_ECOLI,entA,"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase",2,2,,9658.46,,
P15067,GLGX_ECOLI,glgX,Glycogen debranching enzyme,2,2,,,,
P15078,CSTA_ECOLI,cstA,Peptide transporter CstA,2,2,11279.7,,11393.5,
P15108,HSC82_YEAST,HSC82,ATP-dependent molecular chaperone HSC82,4,4,2.05E+06,2.46E+06,2.18E+06,2.35E+06
P15121,ALDR_HUMAN,AKR1B1,Aldo-keto reductase family 1 member B1,10,10,1.17E+06,1.14E+06,1.16E+06,1.19E+06
P15151,PVR_HUMAN,PVR,Poliovirus receptor,1,1,24221.3,33827.8,28732.9,22634.3
P15170,ERF3A_HUMAN,GSPT1,Eukaryotic peptide chain release factor GTP-binding subunit ERF3A,7,3,415689,444006,402901,474798
P15180,SYKC_YEAST,KRS1,"Lysine--tRNA ligase, cytoplasmic",10,10,320148,362036,324928,354027
P15254,PUR4_ECOLI,purL,Phosphoribosylformylglycinamidine synthase,8,8,15509.4,50333,31974,32982.7
P15274,AMPD_YEAST,AMD1,AMP deaminase,8,8,25681.6,34886.8,37997.3,31116.4
P15288,PEPD_ECOLI,pepD,Cytosol non-specific dipeptidase,11,11,321960,407069,373036,378274
P15289,ARSA_HUMAN,ARSA,Arylsulfatase A,1,1,3076.59,,4654.38,
P15291,B4GT1_HUMAN,B4GALT1,"Beta-1,4-galactosyltransferase 1",3,3,347138,439162,346979,458116
P15303,SEC23_YEAST,SEC23,Protein transport protein SEC23,8,8,79408.8,87783.3,73152.5,91053.2
P15311,EZRI_HUMAN,EZR,Ezrin,9,8,308938,416275,327921,337463
P15328,FOLR1_HUMAN,FOLR1,Folate receptor alpha,2,2,427957,590753,508198,533936
P15367,SEC11_YEAST,SEC11,Signal peptidase complex catalytic subunit SEC11,1,1,1933.93,,2307.43,2810.63
P15373,PRLF_ECOLI,prlF,Antitoxin PrlF,1,1,,,,
P15374,UCHL3_HUMAN,UCHL3,Ubiquitin carboxyl-terminal hydrolase isozyme L3,4,4,87831.2,88675,103022,77509.6
P15408,FOSL2_HUMAN,FOSL2,Fos-related antigen 2,2,2,31801,57241.2,53701.4,61786
P15424,MS116_YEAST,MSS116,"ATP-dependent RNA helicase MSS116, mitochondrial",1,1,,,,6080.91
P15454,KGUA_YEAST,GUK1,Guanylate kinase,4,4,248048,350551,289702,286966
P15496,IDI1_YEAST,IDI1,Isopentenyl-diphosphate delta-isomerase,3,3,56978,67555.8,64227.1,60275.2
P15529,MCP_HUMAN,CD46,Membrane cofactor protein,4,4,396555,415062,430735,499056
P15531,NDKA_HUMAN,NME1,Nucleoside diphosphate kinase A,8,3,4.48E+06,5.52E+06,4.65E+06,5.37E+06
P15559,NQO1_HUMAN,NQO1,NAD(P)H dehydrogenase [quinone] 1,2,2,345617,290212,326965,414952
P15565,TRM1_YEAST,TRM1,"tRNA (guanine(26)-N(2))-dimethyltransferase, mitochondrial",1,1,,10702.8,7537.25,
P15586,GNS_HUMAN,GNS,N-acetylglucosamine-6-sulfatase,6,6,70662.5,60254.5,64219.7,72921.3
P15624,SYFB_YEAST,FRS1,Phenylalanine--tRNA ligase beta subunit,7,7,194130,206878,154119,200692
P15625,SYFA_YEAST,FRS2,Phenylalanine--tRNA ligase alpha subunit,9,9,325588,377780,354228,324665
P15639,PUR9_ECOLI,purH,Bifunctional purine biosynthesis protein PurH,13,13,147627,161651,146636,163634
P15640,PUR2_ECOLI,purD,Phosphoribosylamine--glycine ligase,3,3,36268.8,42068.4,32469.6,34004.7
P15646,FBRL_YEAST,NOP1,rRNA 2'-O-methyltransferase fibrillarin,4,4,88294.1,114225,62061.9,124797
P15700,KCY_YEAST,URA6,Uridylate kinase,1,1,7641.86,5592.32,,
P15703,BGL2_YEAST,BGL2,"Glucan 1,3-beta-glucosidase",4,4,139345,140007,150349,148794
P15705,STI1_YEAST,STI1,Heat shock protein STI1,9,9,301806,395988,353500,400847
P15735,PHKG2_HUMAN,PHKG2,"Phosphorylase b kinase gamma catalytic chain, liver/testis isoform",3,2,10368.4,15090.8,22947.2,7137.3
P15770,AROE_ECOLI,aroE,Shikimate dehydrogenase (NADP(+)),1,1,,,28736,31853.3
P15790,CSK21_YEAST,CKA1,Casein kinase II subunit alpha,4,4,,39065.4,36891.8,51343.1
P15848,ARSB_HUMAN,ARSB,Arylsulfatase B,1,1,10358.7,,9054.9,
P15873,PCNA_YEAST,POL30,Proliferating cell nuclear antigen,4,4,41589.7,53665.5,40771.1,36214.3
P15877,DHG_ECOLI,gcd,Quinoprotein glucose dehydrogenase,5,5,13792.3,19524.5,18516.7,23631.8
P15880,RS2_HUMAN,RPS2,Small ribosomal subunit protein uS5,4,4,3.39E+06,4.06E+06,3.74E+06,4.09E+06
P15891,ABP1_YEAST,ABP1,Actin-binding protein,9,9,412155,446614,416069,529501
P15924,DESP_HUMAN,DSP,Desmoplakin,34,34,100838,109038,103767,114315
P15927,RFA2_HUMAN,RPA2,Replication protein A 32 kDa subunit,1,1,76647.8,98822.5,63787.6,81739.6
P15941,MUC1_HUMAN,MUC1,Mucin-1,2,2,,9395.22,,
P15954,COX7C_HUMAN,COX7C,"Cytochrome c oxidase subunit 7C, mitochondrial",1,1,309148,389154,360752,316664
P15977,MALQ_ECOLI,malQ,4-alpha-glucanotransferase,2,2,,4337.15,4849.15,4149.86
P15992,HSP26_YEAST,HSP26,Heat shock protein 26,4,4,453916,636187,499653,354530
P16035,TIMP2_HUMAN,TIMP2,Metalloproteinase inhibitor 2,1,1,,,,
P16066,ANPRA_HUMAN,NPR1,Atrial natriuretic peptide receptor 1,1,1,6784.83,5309.21,,
P16070,CD44_HUMAN,CD44,CD44 antigen,6,6,669176,785873,709762,833850
P16083,NQO2_HUMAN,NQO2,Ribosyldihydronicotinamide dehydrogenase [quinone],2,2,224920,274030,208806,289187
P16095,SDHL_ECOLI,sdaA,L-serine dehydratase 1,1,1,34661.9,,,17265.1
P16120,THRC_YEAST,THR4,Threonine synthase,6,6,353255,447863,334298,429232
P16140,VATB_YEAST,VMA2,V-type proton ATPase subunit B,7,7,1.69E+06,2.10E+06,1.94E+06,2.29E+06
P16144,ITB4_HUMAN,ITGB4,Integrin beta-4,16,16,51226.7,56852.2,51547.2,60856.7
P16152,CBR1_HUMAN,CBR1,Carbonyl reductase [NADPH] 1,7,6,462552,641006,522230,603428
P16219,ACADS_HUMAN,ACADS,"Short-chain specific acyl-CoA dehydrogenase, mitochondrial",5,5,77546.6,87866.2,71402,89202.5
P16220,CREB1_HUMAN,CREB1,Cyclic AMP-responsive element-binding protein 1,3,1,163618,210465,185845,199238
P16278,BGAL_HUMAN,GLB1,Beta-galactosidase,3,3,76313.4,76136.4,80537.9,67608.2
P16333,NCK1_HUMAN,NCK1,SH2/SH3 adapter protein NCK1,5,4,6157.16,8731.18,,
