Protein.Group,Protein.Names,Genes,First.Protein.Description,N.Sequences,N.Proteotypic.Sequences,150H100Y_1,150H100Y_2,150H100Y_3,200H50Y_1,200H50Y_2,200H50Y_3,240H10Y_1,240H10Y_2,240H10Y_3
P31689,DNJA1_HUMAN,DNAJA1,DnaJ homolog subfamily A member 1,8,8,230383,221377,218638,244830,293802,293102,256152,265600,259064
P31749,AKT1_HUMAN,AKT1,RAC-alpha serine/threonine-protein kinase,1,1,,,,28525,,,17047.3,17918.6,22076.8
P31751,AKT2_HUMAN,AKT2,RAC-beta serine/threonine-protein kinase,3,2,34135,25025.6,26799,31248.9,30919.8,,24888.8,19778.2,18059.9
P31755,OCH1_YEAST,OCH1,"Initiation-specific alpha-1,6-mannosyltransferase",1,1,21969.6,28553,24232.1,10548.5,11262.3,12341.4,2370.3,3178.21,2883.17
P31787,ACBP_YEAST,ACB1,Acyl-CoA-binding protein,3,3,3.09E+06,3.62E+06,3.69E+06,1.30E+06,1.74E+06,1.79E+06,269715,406850,425668
P31930,QCR1_HUMAN,UQCRC1,"Cytochrome b-c1 complex subunit 1, mitochondrial",8,8,342811,252454,291726,269306,390660,351042,325656,326984,328342
P31937,3HIDH_HUMAN,HIBADH,"3-hydroxyisobutyrate dehydrogenase, mitochondrial",3,3,120554,165608,173365,138626,175591,186048,158754,166052,161237
P31939,PUR9_HUMAN,ATIC,Bifunctional purine biosynthesis protein ATIC,15,13,502110,497780,497126,461103,643204,611567,480114,527940,528053
P31942,HNRH3_HUMAN,HNRNPH3,Heterogeneous nuclear ribonucleoprotein H3,5,5,623638,632157,625367,683968,829850,770025,684607,707835,676190
P31943,HNRH1_HUMAN,HNRNPH1,Heterogeneous nuclear ribonucleoprotein H,12,8,2.33E+06,2.09E+06,1.94E+06,2.38E+06,2.85E+06,2.29E+06,2.22E+06,2.25E+06,2.24E+06
P31946,1433B_HUMAN,YWHAB,14-3-3 protein beta/alpha,5,4,3.33E+06,3.53E+06,3.76E+06,3.68E+06,5.14E+06,5.18E+06,3.59E+06,3.48E+06,3.73E+06
P31947,1433S_HUMAN,SFN,14-3-3 protein sigma,7,7,1.48E+06,2.00E+06,2.04E+06,1.71E+06,2.26E+06,2.39E+06,1.82E+06,2.06E+06,2.03E+06
P31948,STIP1_HUMAN,STIP1,Stress-induced-phosphoprotein 1,23,23,1.37E+06,1.38E+06,1.43E+06,1.35E+06,1.74E+06,1.70E+06,1.40E+06,1.40E+06,1.42E+06
P31949,S10AB_HUMAN,S100A11,Protein S100-A11,2,2,803183,913899,897213,826306,1.20E+06,1.11E+06,1.04E+06,944669,1.01E+06
P32004,L1CAM_HUMAN,L1CAM,Neural cell adhesion molecule L1,15,15,203344,182968,177464,194527,263575,224688,194075,205313,194080
P32019,I5P2_HUMAN,INPP5B,"Type II inositol 1,4,5-trisphosphate 5-phosphatase",4,4,4509.12,,5536.71,3293.79,6748.43,4849.95,6099.46,4603.16,6037.62
P32074,COPG_YEAST,SEC21,Coatomer subunit gamma,16,16,303425,290101,275402,115424,154375,136099,34184.4,33148.7,31432.9
P32119,PRDX2_HUMAN,PRDX2,Peroxiredoxin-2,3,3,55466.2,22800.3,19264.3,15426.2,65373.5,24382.8,38735.9,27314.1,44565.3
P32121,ARRB2_HUMAN,ARRB2,Beta-arrestin-2,3,3,,,11235.2,8401.66,10365,10308.9,8569.84,12029.6,8596.9
P32178,CHMU_YEAST,ARO7,Chorismate mutase,3,3,65988,50867,54955.8,20708,32580.9,22340.2,4302.78,3260.78,10867.5
P32179,MET22_YEAST,MET22,"3'(2'),5'-bisphosphate nucleotidase",3,3,23135,21395.2,17273.4,6606.23,9838.91,9436.2,3275.91,7491.52,
P32189,GLPK_HUMAN,GK,Glycerol kinase,3,1,15429,13313.1,,21643.2,15239.1,17879,16289,17244.5,15228.3
P32191,GPDM_YEAST,GUT2,"Glycerol-3-phosphate dehydrogenase, mitochondrial",8,8,42707.6,39925.4,42723.4,19021.9,17606.6,22953.6,,,10472.3
P32259,MED16_YEAST,SIN4,Mediator of RNA polymerase II transcription subunit 16,3,3,27889.5,28127.5,29538.9,,12418.4,12258,,,
P32263,P5CR_YEAST,PRO3,Pyrroline-5-carboxylate reductase,7,7,741659,767070,747899,319412,463716,351548,64737.8,83258.7,77141.3
P32264,PROB_YEAST,PRO1,Glutamate 5-kinase,4,4,108671,67619.2,100869,43222.9,44571.2,46722.6,,,
P32266,MGM1_YEAST,MGM1,"Dynamin-like GTPase MGM1, mitochondrial",3,3,23406,10024.2,17279.6,3622.44,8321.79,7903.31,,,
P32288,GLNA_YEAST,GLN1,Glutamine synthetase,4,4,2.56E+06,2.83E+06,2.61E+06,1.06E+06,1.38E+06,1.38E+06,234103,346006,308559
P32298;P34947;P43250,GRK4_HUMAN;GRK5_HUMAN;GRK6_HUMAN,GRK4;GRK5;GRK6,G protein-coupled receptor kinase 4,1,0,,3758.17,,4159.64,3112.16,,2993.03,3997.79,
P32316,ACH1_YEAST,ACH1,Acetyl-CoA hydrolase,4,4,67096.6,68919.3,60943.5,25232.6,23653.3,29707.2,,,
P32317,AFG1_YEAST,AFG1,Protein AFG1,1,1,5393.17,2985.4,,,,,,,
P32319,VPS10_YEAST,PEP1,Vacuolar protein sorting/targeting protein VPS10,11,5,170267,182869,168552,70486.2,90527.1,78534.5,23971.9,25419.9,27871.1
P32320,CDD_HUMAN,CDA,Cytidine deaminase,3,3,113728,74980.1,80470.6,97739.7,109054,96860.5,97272.7,91731.1,80686.9
